,road,latitude_road,longitude_road,murder,robber,rape,theft,violence,crime_counts,camera,latitude_camera,longitude_camera,total_p,total_m,total_f,interval,lamp
176,남부순환로206길,37.4806472,126.942117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.48108245,126.941804,,,,,
177,은천로25가길,37.4876278,126.9506579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,드림타운정문~드림타운남문,29.0
178,청룡13길,37.4771581,126.9462821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
179,남부순환로159길,37.4841996,126.9194476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
180,국회단지25길,37.49080410000001,126.9405207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
181,광신길,37.4670833,126.9307308,0.0,0.0,3.0,7.0,4.0,14.0,7.0,37.46485744,126.9267517,,,,신림10동,19.0
182,남부순환로185길,37.48542,126.9323324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
183,은천로10길,37.4852246,126.9410757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
184,양지11길,37.4690859,126.92870159999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
185,남부순환로246가길,37.4754218,126.9649716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
186,관악로29길,37.487113,126.956723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
187,국회단지27길,37.4911657,126.9404512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
188,난곡로51길,37.4783016,126.9137952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
189,봉천로23가길,37.4876328,126.9354125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
190,남부순환로182길,37.4834596,126.9316245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
191,남현6길,37.4737541,126.9750825,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.47310877,126.97398030000001,,,,,
192,봉천로49다길,37.4830805,126.9515795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
193,승방3가길,37.4723368,126.9794808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
194,관악로15길,37.48035820000001,126.9507634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.48046347,126.9491287,,,,,
195,솔밭로4길,37.4789796,126.963544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
196,쑥고개로30길,37.4780007,126.9503012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
197,호암로24길,37.4697004,126.9354905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,55.0,39.0,,
198,신림로44다길,37.47844600000001,126.9360317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
199,남부순환로190가길,37.4825792,126.9339568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
200,승방4길,37.4745448,126.9806317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
201,난곡로34가길,37.4729782,126.9202709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
202,남부순환로152길,37.4816107,126.9187943,0.0,0.0,0.0,1.0,1.0,2.0,1.0,37.48006474,126.91887790000001,,,,,
203,인헌16다길,37.4686638,126.9661478,0.0,0.0,0.0,2.0,3.0,5.0,1.0,37.46831315,126.9638012,,,,,
204,봉천로18길,37.4870641,126.9317722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
205,남부순환로186가길,37.4835811,126.93304340000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
206,신림로67길,37.486055,126.9284447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
207,봉천로8길,37.4884651,126.9271136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
208,은천로41길,37.4862277,126.95550190000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
209,신림로53길,37.4796117,126.9299976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
210,참숯4길,37.477114,126.9411313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
211,남부순환로218길,37.4802248,126.95037859999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
212,법원단지20길,37.4738604,126.9235064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
213,봉천로5길,37.490324,126.9243581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
